PC,[M+H]+,MH-PC,MH-tail1&TrimethylAmine,MH-tail2&TrimethylAmine,MH-Tail1,MH-Tail2,LPC_T1_H,LPC_T2_H,RCOO+58_T1,RCOO+58_T2,PC Head
PC(16:0_16:0)+H,734.56944,551.5034,419.255711,419.255711,478.32921,478.32921,496.33979,496.33979,313.27373,313.27373,184.07332
PC(16:0_16:1)+H,732.55384,549.4878,417.240111,419.255711,476.31361,478.32921,496.33979,494.32419,313.27373,311.25813,184.07332
PC(16:0_18:0)+H,762.60074,579.5347,447.287011,419.255711,506.36051,478.32921,496.33979,524.37109,313.27373,341.30503,184.07332
PC(16:0_18:1)+H,760.58514,577.5191,445.271411,419.255711,504.34491,478.32921,496.33979,522.35549,313.27373,339.28943,184.07332
PC(16:0_18:2)+H,758.56944,575.5034,443.255711,419.255711,502.32921,478.32921,496.33979,520.33979,313.27373,337.27373,184.07332
PC(16:0_20:0)+H,790.63204,607.566,475.318311,419.255711,534.39181,478.32921,496.33979,552.40239,313.27373,369.33633,184.07332
PC(16:0_20:1)+H,788.61644,605.5504,473.302711,419.255711,532.37621,478.32921,496.33979,550.38679,313.27373,367.32073,184.07332
PC(16:0_20:2)+H,786.60074,603.5347,471.287011,419.255711,530.36051,478.32921,496.33979,548.37109,313.27373,365.30503,184.07332
PC(16:0_20:3)+H,784.58514,601.5191,469.271411,419.255711,528.34491,478.32921,496.33979,546.35549,313.27373,363.28943,184.07332
PC(16:0_20:4)+H,782.56944,599.5034,467.255711,419.255711,526.32921,478.32921,496.33979,544.33979,313.27373,361.27373,184.07332
PC(16:0_20:5)+H,780.55384,597.4878,465.240111,419.255711,524.31361,478.32921,496.33979,542.32419,313.27373,359.25813,184.07332